
joy , During the period of falling in love 
fear , When I was involved in a traffic accident. 
danger , When I was driving home after  several days of hard work 
sadness , When I lost the person who meant the most to me. 
 disgust , The time I knocked a deer down - the sight of the animal's dinjuries and helplessness. 
  The realization that the animal was dso badly hurt that it had to be put down ,  and when the animal dscreamed at the moment of death. 
shame , When I did not speak the truth. 
guilt , When I caused problems for somebody because he could not keep the dappointed time and this led to various consequences. 
joy , When I got a letter offering me the Summer job that I had applied for. 
  fear , When I was going home alone one night in Paris and a man came up dbehind me and asked me if I was not afraid to be out alone so dlate at night. 
danger , When I was talking to HIM at a party for the first time in a long while and a friend came and interrupted us and HE left. 
sadness , When my friends did not ask me to go to a New Year's party dwith them. 
disgust , When I saw all the very drunk kids 13-14 years old in town on dWalpurgis night. 
shame , When I could not remember what to say about a presentation task dat an accounts meeting. 
guilt , When my uncle and my neighbour came home under police escort. 
joy ,  On days when I feel close to my partner and other friends. 
fear , Every time I imagine that someone I love or I could contact a dserious illness 
danger , When I had been obviously unjustly treated and had no possibility dof elucidating this. 
sadness , When I think about the short time that we live and relate it to dthe periods of my life when I think that I did not use this dshort time. 
disgust , At a gathering I found myself involuntarily sitting next to two dpeople who expressed opinions that I considered very low and discriminating. 
shame , When I realized that I was directing the feelings of discontent dwith myself at my partner and this way was trying to put the blame don him instead of sorting out my own feeliings. 
guilt , I feel guilty when when I realize that I consider material things dmore important than caring for my relatives. 
joy , After my girlfriend had taken her exam we went to her parent's dplace. 
fear , When 
danger , When a car is overtaking another and I am forced to drive off the droad. 
sadness , When I recently thought about the hard work it takes to study 
disgust , When I found a bristle in the liver paste tube. 
shame , When I was tired and unmotivated 
guilt , When I think that I do not study enough. 
joy , When I pass an examination which I did not think I did well. 
fear , When one has arranged to meet someone and that person arrives dlate 
danger , When one is unjustly accused of something one has not done. 
sadness , When one's studies seem hopelessly difficult and uninteresting. 
  disgust , When one finds out that someone you know is not at all like one dhad thought 
shame , When one has been unjust 
 guilt , When one has neglected or been unjust to a good friend. 
joy , Passing an exam I did not expect to pass. 
fear , When I climbed up a tree to pick apples. 
danger , Friends who torture animals. 
sadness ,  Same as in anger. 
disgust , Friends who torture animals. 
shame ,  Same as above - friends who torture animals. 
guilt ,  When excuses are necessary and I get out of doing it myself. 
joy , When I had my children. 
fear , When my 2 year old son climbed up and sat on the 7th floor dbalcony with his legs hanging out. 
danger , When my partner was attacked and lost three teeth. 
sadness , When I see children on T. 
disgust , When I nearly walked on a blindworm and then saw it crawl away. 
shame , When I saw my 18 year old son grab an oxygen mask as he had breathing difficulties. 
guilt , I experience a sense of guilt as my middle son cannot express dhimself like other children 
joy , When my child was born. 
fear , It was winter/spring and the ice was melting. 
danger , Unjust accusations directed at me and my way of acting 
  sadness , Failing an examination. 
disgust , A drunkard fell 
shame , When 
guilt , When I am in an environment or with a person much worse off than dme 
joy , When I saw a person I had not seen for a long time. 
fear , When 
danger , When I heard on the radio that the football match in Belgium had dended in a catastrophe 
sadness , When I feel lonely 
disgust , When one learns through the mass media all the wars and killing going on in the world. 
shame , I lied 
guilt , When one lets friends downjoy 
fear , A bus drove over my right leg. 
  The event itself was not very dfrightening but when I had to wait in the emergency ward for dthree hours and then my leg began to swell ,  I was frightened. 
danger , At my Summer job 
sadness , When I was not accepted as a student in finance and accounting. 
disgust , When I had just moved into my new appartment I found a ventilator din the kitchen. 
shame , My elder brother and I have not always had a good relationship dand I feel ashamed of myself as I do not call him to talk to him dnowadays. 
guilt , At my Summer job a new caretaker had been employed who was my age d but I preferred going out for lunch with the accounts personnel drather than with him. 
joy , Passed an exam by 2 points. 
fear , In a cottage in a large forest 
danger , When I spoke to Jan-Erik Wikstr·m on the telephone. 
 sadness , Railway station good-bye. 
disgust , I saw a cripple in rags with small children in Italy. 
shame , I told a friend that I was going to a party and he would not denjoy himself if he came along. 
guilt , I was the reason behind the break-up of my friend's relationship dwith his girlfriend. 
joy , I passed an exam that I was absolutely certain that I had failed. 
fear , On the way back from Denmark with a friend on a small yatch 
danger , I locked myself out. 
sadness , I missed the last tram home and had to walk in the pouring rain. 
disgust , I found some worms in the food and I had obviously eaten some. 
shame , My friend was so intoxicated that the police came and took him daway 
guilt , I hapened to overhear something which I was not meant to hear. 
joy , When I won a trip to Greece in a competition. 
fear , When I am out in the dark and a suspicious looking character comes towards me. 
danger , At work 
sadness , When I had not understood anything after a lecture. 
disgust , When an alcoholic stood dribbling over a food counter. 
shame , When my friend and I were discussing the good looks of a guy we drealized that he had been listening. 
guilt , When I complained about a colleague to the manager and he told dher that someone had complained; this colleague came to me dbelieving that I liked her. 
joy , At a friend's birthday party with some of my closest friends. 
fear , On the way home one Friday night in the heavy rain the car dacquaplanned. 
danger , Mad at my dad. 
sadness , A case of unrequited love. 
disgust , A bad smelling cucumber. 
shame , Nearly caught masturbating. 
guilt , I do not help out enough at home. 
joy , I felt very happy when I won the football pools. 
fear , When I flew from Athens to Copenhagen after a holiday. 
danger , When someone stole my bike. 
sadness , When I saw the list of books to read for an acccouting course 
shame , When I dropped a bottle in the state liquor store and everyboby dstarted laughing. 
guilt , When I was young - 14 
joy , When the whole family gets together for a one week holiday. 
fear , When I could not find my 2 year old daughter. 
  I finally found her ,  she had gone to bed to sleepdanger 
  sadness , Marriage crises. 
disgust , When someone makes advances that one does not want. 
shame , The discovery that one has only thought of oneself. 
guilt , When I spanked a child in anger and later regretted it terribly. 
joy , When I passed the first examination that I had to repeat. 
fear , When I drove to Stockholm for the first time and drove off the dStora Hissingen road at the wrong exit. 
danger , When my boyfriend went away for a month long holiday without me. 
sadness , Last year when I worked during the Summer holidays and studied dat the same time for an examination I had to repeat; my boyfriend dwent to Greece for a holiday for a month. 
disgust , When a dog is left whining outside a shop. 
shame , When I promised to help a friend over a weekend and did not keep dthe promise. 
guilt , When I realized that I had three more examinations to take. 
joy , The day I was told that I had been accepted as a student of deconomics. 
fear , While taking a short cut through the Vasa park 
danger , At a restaurant I observed how the gypsies tried to get money by dcheating the foreigners i. 
  My anger had dnothing to do with hatred against foreigners ,  but it was an dexpression of the anger I feel when I see people being used . 
sadness , At the begining of a new course one is afraid of encountering problems one can not manage. 
disgust , While walking in town I noticed how the police harrassed a man dwho was under the influence of alcohol. 
shame , When my boyfriend revealed that he knew that I had discovered dthings of an important nature about him 
guilt , When I am dishonest to a friend to whom I am very close. 
  I dfeel guilty because I know that he gives a different version of dthe truth and I have not corrected these mistakes ,  and he is daware that I know that they are wrong. 
joy , When I found out that I had passed the last two exams by a dmargin of three marks. 
fear , When my father was ill and was waiting for the results of his tests. 
danger , When I got caught in the pouring rain last Thursday and did not dhave a raincoat on me. 
sadness , When I failed an exam. 
disgust , At a Sm·rgasbord table 
shame , When I had not prepared my contribution to the group as dthoroughly as the other members 
guilt , When my father and I worked on the house just after he had drecovered from illness 
joy , When I gave birth to my son and saw that he was alive and that I dhad managed it well. 
fear , When I found out that my father had lung cancer and they did not know how long he would live. 
danger , When a colleague asked me for help at work 
sadness , When I did not get the salary increase that I had been expecting dand understood how little one's work was appreciated. 
disgust , When I was weeding the garden I found a lizard in my hand. 
shame , When I met a friend whom I had not seen for a long time and dheard all about her troubles 
guilt , I got angry at my mother for something trivial. 
joy , New year's eve 1983/1984 
fear , When I was stopped by plain clothes policemen because the car I dwas driving had overturned on the Avenue. 
  I had been driving too dfast ,  and I was afraid when I was stopped 
danger , The editor changed the heading of an article that I had written. 
sadness , A close acquaintance of the family died of lung cancer. 
  dAlthough it was expected ,  I still felt depressed. 
disgust , When I saw a picture 
shame , One night I had a sexual intercourse with another man. 
guilt , Due to laziness 
  I also wanted ,  to some extent 
joy , When I got the loan for my studies. 
fear , I met intoxicated people with dubious intentions in a back alley done Wednesday night. 
danger , On the T. 
sadness , The thought of having to read a boring book of 400 pages in dEnglish. 
disgust , Grovelling people. 
shame , My inability to assert myself positively in a group. 
guilt , I experience feelings of guilt because I do not study enough. 
disgust , Observing someone in the cafeteria noisily gulping in his food 
shame , I guess I have often been ashamed after having talked badly of dother people. 
guilt , Having been angry and unpleasant towards my parents. 
joy , When my sister - after a history of one abortion and one dstillbirth - gave birth to a perfectly healty boy. 
fear , When my sister had the still born child 
danger , We were starting a student project 
sadness , When my boyfriend openly let me down 
disgust , I felt some disgust for my boyfriend for a time 
shame , Can't think of any. 
guilt , Before an accident 
 I declined ,  she took that seat and was killed dthere when the car crashed. 
joy , Unexpected visit by a close friend 
fear , I wandered by mistake into the safety zone of a shooting range 
danger , Being treated unfairly. 
sadness , Breaking up with a girl. 
disgust , Nothing. 
shame , None. 
guilt , Little contact with my father before he died. 
joy , When I was accepted as a student at the college 
fear , When I was the first to arrive at the scene after an accident 
danger , I was accused of having done something 
sadness , When my grandmother died. 
disgust , Not applicable. 
joy , A couple of years ago during the summer holiday 
 I experienced a feeling of joy ,  happiness dand fulfillment. 
fear , I was alone at home 
 later I realized that it was the corner of the dblanketdanger , I went to a lecture and once again it had been cancelled 
sadness , I heard that a former superior of mine had died 
disgust , In the tram there was a fat 
shame , When we were at home 
  My deed dhad been unjust and I knew that my husband was right ,  therefore my dsense of shame. 
guilt , I made a remark to my sister concerning her attitude to men 
  dLater ,  the same evening 
joy , I had a summer job in Sweden 
fear , I went to practice in Sweden during summer 
danger , In the holiday cottage of our association 
sadness , My grandmother died suddenly last summer. 
disgust , My superior at the summer job swindled customers as much as he dcould 
shame , Once I arrived two hours late to my work place a bank and I was dstill feeling feeble and tired. 
guilt , Our association had Polish visitors and when they were going back dby boat I did not go to see them off I am the chairman of the dassociation. 
joy , I was told quite unexpectedly that one wanted me to become the dvice-chairman of our student organisation. 
  I was really dsurprised and joy was the first emotion I felt ,  though behind it dthere was worry - how shall I succeed ?fear 
danger , We were in a disco and the evening was not at all pleasant. 
  dDespite my not knowing why ,  I was angry with my companion. 
sadness , My grandmother died 
  The way my mother told me about it ,  I hated her dat that moment. 
disgust , At the underground station 
shame , I was worried by a task related to my studies which had to be ddone in groups of two. 
  I was talking about it to my friends when dI said something negative ,  in too abrupt a manner 
guilt , I had told my boyfriend that I did not want to go on with our drelationship. 
joy , Last night I had a chat with a fellow student. 
  I had known her for about half a year ,  and for the first time we were speaking dthe same language- meaning an inspiring discussion and dencounter. 
danger ,  I sometimes quarrel with my mother because she blames me 
sadness , After hearing about the death of my grandfather. 
  First I could dnot believe it ,  but later I wept and felt the situation was dhopeless. 
disgust , In the evening 
shame , My little brother was arrested by the police at the railway station after he had drunk some beer. 
guilt , At my temporary job 
joy , I met a dear friend of mine after a long time. 
  I expressed my feelings din our own usual way ,  by mutual scolding and abusing with dcomplete understanding and by touching 
fear , I felt fear of the purest kind after a car accident. 
  I dwondered what could have happened to my sister ,  my friend and me 
danger , Two boys whom I know were telling me 
  They had despised dher conviction ,  scorned and touched her. 
sadness , My sweetheart left me 
  The consequences were - unrestrained weeping ,  dfeelings of loneliness 
  I felt dthat I should find a friend ,  to talk to joyfully and to forget. 
disgust , Out of sheer curiosity 
  The room was full of men ,  who panted and dmasturbated. 
shame , After having quarelled unnecessarily and without any reason 
shame ,  Do not know. 
guilt , Forced to fill in a questionnaire. 
joy , When I won a tennis match. 
fear , When my dog ran out on thin ice last spring. 
danger , When my tennis match was interrupted because a kid cycled right dinto the court. 
sadness ,  No response. 
disgust ,  No response. 
shame ,  No response. 
guilt ,  No response. 
joy , Celebrations on the graduation day with the orchestra playing in dthe garden  I am a part of this orchestra. 
fear , Risk of being involved in a fight after a party. 
danger , I had a very heavy work load and two colleagues 
sadness , After an exam which I failed. 
disgust ,  Normally I do not feel disgusted. 
shame , When I overtook a car on the mainroad 
guilt , I saw a neighbour 
joy , When I met an old schhol friend school love who works in dSk+vde. 
fear , When I was cycling to school 
